dataset,method,run_name,row_type,seed,status,roc_auc,auprc,macro_f1,f1,delta_auprc_vs_base,delta_roc_auc_vs_base,delta_macro_f1_vs_base,delta_auprc_vs_best_single,delta_macro_f1_vs_best_single,near_cap_fraction,residual_shift_mean,residual_shift_max_abs,mean_gate_all_relations,gate_vs_near_cap_corr,gate_vs_abs_residual_corr,mean_sparse_penalty,positive_auprc_vs_base_seeds
amazon,base_gate,cover_rel_base_gate_nollm,seed,789,complete,0.9187637034254295,0.8165579323606443,0.9144175321444494,0.8396694214876033,0.004425890251648856,0.0036412690823399707,0.0019725861174958448,0.00042335657506786806,0.0002646783231039507,0.8602645397186279,0.02324823848903179,0.20000076293945312,0.560745894908905,-0.12001240253448486,-0.1115247830748558,1.6822377443313599,
amazon,base_gate,cover_rel_base_gate_nollm,seed,2026,complete,0.9501840784126226,0.8592021287609366,0.9273408483742751,0.8640776699029126,0.0031621552783684947,0.0016693418940610938,0.0,0.00028299909788265243,0.0,0.9567146897315979,0.1191188171505928,0.20000076293945312,0.9811574220657349,0.03908838331699371,0.03448314592242241,2.943472385406494,
amazon,base_gate,cover_rel_base_gate_nollm,mean,,5/5 complete,0.9602617396946825,0.8546018025134758,0.9175114440073799,0.8455263333611127,0.0034015889180685653,0.0017436562958915269,0.0005010341753196145,0.00024308661086422934,5.3197260533277555e-05,0.9120730042457581,0.110446522757411,0.20000047683715821,0.8316003322601319,-0.0075412563979625705,-0.012736134231090546,2.494801068305969,5
amazon,base_gate,cover_rel_base_gate_nollm,std,,5/5 complete,0.02622691111998146,0.02206260027378212,0.005694118955198125,0.010742890142459466,0.001628548544459479,0.0011951593473075923,0.0009865391743383042,0.0005873570053693691,0.0007255685338579636,0.0384007257665289,0.05076884075245095,3.917617017067667e-07,0.16391692709728078,0.15813035709914058,0.1506790248350096,0.49175078427307223,5
amazon,anchor_gate_conservative,cover_rel_anchor_gate_conservative_nollm,seed,42,complete,0.9726238857962501,0.8721940256737092,0.9161821191105433,0.8429752066115702,0.0034381329357302537,0.0009337112803524672,0.001013050419499839,-0.002656866221600551,0.001013050419499839,0.0,0.06848297268152237,0.10000038146972656,0.8142321109771729,0.0,-0.005178581457585096,1.442696213722229,
amazon,anchor_gate_conservative,cover_rel_anchor_gate_conservative_nollm,seed,123,complete,0.9821713739284861,0.8608006905640451,0.9176982492653363,0.8459016393442623,0.0007885037582661125,0.00016666097469353325,0.001002820819413719,8.461539805804108e-05,0.001002820819413719,0.0,0.06130348891019821,0.10000038146972656,0.5684975385665894,0.0,-0.21486802399158478,0.7054926156997681,
amazon,anchor_gate_conservative,cover_rel_anchor_gate_conservative_nollm,seed,456,complete,0.9757289710050886,0.8606678660065494,0.9129212919617091,0.8369028006589786,0.001606893164834755,0.0004706123424745856,-0.00048046566039761096,-0.0005050409965812186,-0.001011742439937402,0.0,0.07620841264724731,0.10000038146972656,0.4503867030143738,0.0,-0.12312100827693939,0.3511602282524109,
amazon,anchor_gate_conservative,cover_rel_anchor_gate_conservative_nollm,seed,789,complete,0.9160083330487346,0.8137654305398315,0.9149416479921526,0.8407224958949097,0.001633388430836047,0.0008858987056451495,0.002496701965199022,-0.0023691452457449413,0.0007887941708071278,0.0,0.04760155454277992,0.10000038146972656,0.9479732513427734,0.0,-0.02915828302502632,1.8439199924468994,
amazon,anchor_gate_conservative,cover_rel_anchor_gate_conservative_nollm,seed,2026,complete,0.9493412110242136,0.8574979964723127,0.9273408483742751,0.8640776699029126,0.0014580229897446229,0.0008264745056520972,0.0,-0.0014211331907412195,0.0,0.0,0.05163136124610901,0.10000038146972656,0.7689447999000549,0.0,0.37511545419692993,1.30683434009552,
amazon,anchor_gate_conservative,cover_rel_anchor_gate_conservative_nollm,mean,,5/5 complete,0.9591747549605546,0.8529852018512896,0.9178168313408033,0.8461159624825266,0.0017849882558823582,0.0006566715617635666,0.0008064215087429938,-0.0013735140513219779,0.00035858459395665676,0.0,0.06104555800557136,0.10000038146972656,0.7100068807601929,0.0,0.0005579114891588688,1.1300206780433655,5
amazon,anchor_gate_conservative,cover_rel_anchor_gate_conservative_nollm,std,,5/5 complete,0.027128417941607783,0.02262542752080655,0.005604155407794847,0.010565333027438293,0.0009858340808889634,0.0003289595482138649,0.001145066641437491,0.0011748328379673715,0.0008710374851079735,0.0,0.011775633274177091,0.0,0.19899252566076603,0.0,0.22522994985085754,0.5969775893557419,5
