relation_set,seed,relation,stat,mean,std,min,q05,q50,q95,max,degree_q10,degree_q90,feature_deviation_q90,neighbor_cosine_q10,fraud_proto_train_nodes,benign_proto_train_nodes,prototype_labels,test_label_used
uvu,123,UVU,fraud_minus_benign_margin_z,3.257695269098804e-08,1.0,-0.4278315603733063,-0.42747366428375244,-0.427090048789978,2.465794086456299,2.4669482707977295,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
uvu,456,UVU,log_degree_norm,0.48948347568511963,0.16314803063869476,0.0,0.20416197180747986,0.5139896869659424,0.7403689026832581,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
uvu,456,UVU,degree_top10,0.10005023330450058,0.3000669777393341,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
uvu,456,UVU,degree_low,0.10222706198692322,0.30294668674468994,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
uvu,456,UVU,feature_l2_deviation_z,-1.9162913478254495e-09,0.9999999403953552,-1.7532777786254883,-1.5425649881362915,0.020388273522257805,1.6036139726638794,7.872159004211426,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
uvu,456,UVU,neighbor_cosine,0.3666815459728241,0.4482899308204651,0.0,0.02060605026781559,0.037892021238803864,0.9998300075531006,0.9999892711639404,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
uvu,456,UVU,zscore_high_fraction,0.053576696664094925,0.09629019349813461,0.0,0.0,0.0,0.2800000011920929,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
uvu,456,UVU,fraud_proto_dist_z,-1.1314103431914191e-07,1.0,-1.9730329513549805,-1.5698198080062866,0.08542197197675705,1.2129228115081787,10.284989356994629,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
uvu,456,UVU,benign_proto_dist_z,-3.736768050544015e-08,0.9999999403953552,-2.5647759437561035,-2.0625226497650146,0.30348971486091614,0.3134792447090149,9.521421432495117,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
uvu,456,UVU,fraud_minus_benign_margin_z,1.0795108096317563e-07,1.0,-0.42994311451911926,-0.42963939905166626,-0.42929908633232117,2.457443952560425,2.458524703979492,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
uvu,789,UVU,log_degree_norm,0.48948347568511963,0.16314803063869476,0.0,0.20416197180747986,0.5139896869659424,0.7403689026832581,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4427,train_only,False
uvu,789,UVU,degree_top10,0.10005023330450058,0.3000669777393341,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4427,train_only,False
uvu,789,UVU,degree_low,0.10222706198692322,0.30294668674468994,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4427,train_only,False
uvu,789,UVU,feature_l2_deviation_z,-1.9162913478254495e-09,0.9999999403953552,-1.7532777786254883,-1.5425649881362915,0.020388273522257805,1.6036139726638794,7.872159004211426,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4427,train_only,False
uvu,789,UVU,neighbor_cosine,0.3666815459728241,0.4482899308204651,0.0,0.02060605026781559,0.037892021238803864,0.9998300075531006,0.9999892711639404,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4427,train_only,False
uvu,789,UVU,zscore_high_fraction,0.053576696664094925,0.09629019349813461,0.0,0.0,0.0,0.2800000011920929,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4427,train_only,False
uvu,789,UVU,fraud_proto_dist_z,9.996652750032808e-08,1.0,-1.8977495431900024,-1.4830727577209473,0.05833734571933746,1.3241279125213623,10.274682998657227,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4427,train_only,False
uvu,789,UVU,benign_proto_dist_z,2.740296736192249e-07,1.0,-2.563244104385376,-2.0609617233276367,0.29882675409317017,0.3098960816860199,9.558167457580566,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4427,train_only,False
uvu,789,UVU,fraud_minus_benign_margin_z,4.982357282301564e-08,1.0,-0.4350663423538208,-0.4347105324268341,-0.4343276023864746,2.438239097595215,2.439425468444824,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4427,train_only,False
uvu,2026,UVU,log_degree_norm,0.48948347568511963,0.16314803063869476,0.0,0.20416197180747986,0.5139896869659424,0.7403689026832581,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,2026,UVU,degree_top10,0.10005023330450058,0.3000669777393341,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,2026,UVU,degree_low,0.10222706198692322,0.30294668674468994,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,2026,UVU,feature_l2_deviation_z,-1.9162913478254495e-09,0.9999999403953552,-1.7532777786254883,-1.5425649881362915,0.020388273522257805,1.6036139726638794,7.872159004211426,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
