dataset,model,run_name,seed,metrics_present,diagnostics_present,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_max_abs_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_gate_weight_rel_0,diag_gate_weight_rel_1,diag_gate_weight_rel_2
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em2,42,True,True,0.5439340537074653,0.8603052572508381,0.7214135805341025,0.702915869865621,1.2275378704071045,0.0,nan,0.0,0.0,0.20724862813949585,0.4940173327922821,0.930581271648407,0.06506667286157608,0.00435208436101675
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em2,123,True,True,0.5837068720052214,0.8701059722956878,0.7363926355499859,0.7164871173992465,1.1784071922302246,0.0,nan,0.0,0.0,0.0020085531286895275,0.23813371360301971,0.9997864961624146,0.00010937447950709611,0.0001041840368998237
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em2,456,True,True,0.5880244077745228,0.8745795600766283,0.7318242895708056,0.7168353580547245,1.222825288772583,0.0,nan,0.0,0.0,0.19375033676624298,0.9199232459068298,0.8575195074081421,0.13517481088638306,0.00730573944747448
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em2,789,True,True,0.5694046906639271,0.8691276594380799,0.7294939298378815,0.7124574896095704,1.1676902770996094,0.0,nan,0.0,0.0,0.02326555736362934,0.3642176687717438,0.9964273571968079,0.00154535670299083,0.002027392853051424
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em2,2026,True,True,0.5647720850380535,0.867347303518931,0.7315368977539065,0.7111652786881957,1.210086703300476,0.0,nan,0.0,0.0,0.0028681159019470215,0.3419635593891144,0.9996853470802307,0.0001420157350366935,0.00017271790420636535
yelpchi,bwgnn,phase2_yelp_s2_lsparse_0,42,True,True,0.5423690550401971,0.8584545673715576,0.7189850900637489,0.7214697549654601,1.5351581573486328,0.0,nan,0.0,0.0,0.004353774711489677,0.8034638166427612,0.9994734525680542,0.00021431580535136163,0.000312309100991115
yelpchi,bwgnn,phase2_yelp_s2_lsparse_0,123,True,True,0.5841066488752028,0.8708239315427877,0.7350696789592547,0.7071415845964972,1.4567188024520874,0.0,nan,0.0,0.0,0.0021852878853678703,0.5260074734687805,0.9997533559799194,0.0001300093426834792,0.00011669893137877807
yelpchi,bwgnn,phase2_yelp_s2_lsparse_0,456,True,True,0.5713588392882979,0.8647241673182359,0.7268661228902572,0.71894651698199,1.5495387315750122,0.0,nan,0.0,0.0,0.015311111696064472,0.839796781539917,0.9978573322296143,0.0020032727625221014,0.00013940884673502296
yelpchi,bwgnn,phase2_yelp_s2_lsparse_0,789,True,True,0.5703946168417463,0.8695579440903282,0.7281319764691336,0.7099072548033512,1.4649715423583984,0.0,nan,0.0,0.0,0.0033110417425632477,0.6043675541877747,0.9996115565299988,0.0001848125393735245,0.0002036794467130676
yelpchi,bwgnn,phase2_yelp_s2_lsparse_0,2026,True,True,0.5666774888521815,0.8691868290884293,0.729595581060607,0.6914194417744022,1.4253785610198975,0.0,nan,0.0,0.0,0.00309727038256824,0.5941520929336548,0.9996408224105835,0.00017332112474832684,0.00018589133105706424
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em4,42,True,True,0.542367049873897,0.8589059891481957,0.7191908773999913,0.721029979591202,1.530434250831604,0.0,nan,0.0,0.0,0.007935211062431335,0.8483473062515259,0.9989516735076904,0.00046020065201446414,0.0005881803808733821
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em4,123,True,True,0.5840599436686151,0.8708266838966401,0.7349051445655008,0.713142649415005,1.4454455375671387,0.0,nan,0.0,0.0,0.002107348060235381,0.5104193091392517,0.9997634887695312,0.0001233299553859979,0.00011325342347845435
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em4,456,True,True,0.5712551740733679,0.8646544648505469,0.7264120663190151,0.7187698127213594,1.533900260925293,0.0,nan,0.0,0.0,0.015279150567948818,0.7880529165267944,0.9978541135787964,0.0020119212567806244,0.00013391903485171497
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em4,789,True,True,0.5705344810796216,0.8697626072163953,0.727724129482562,0.7080767177259111,1.456255555152893,0.0,nan,0.0,0.0,0.0035936858039349318,0.5891022682189941,0.9995748400688171,0.00020248829969204962,0.00022269085457082838
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em4,2026,True,True,0.5665654197945922,0.8691491659259736,0.7298721080212535,0.6915140077930041,1.4245595932006836,0.0,nan,0.0,0.0,0.003083852119743824,0.5944058299064636,0.9996424913406372,0.000172100291820243,0.00018537149298936129
yelpchi,bwgnn,phase2_yelp_s2_lsparse_1em3,42,True,True,0.5424490852129299,0.8589170462234119,0.7188507953050264,0.7198396335267837,1.5185513496398926,0.0,nan,0.0,0.0,0.012611275538802147,0.8778609037399292,0.9981866478919983,0.0008678281446918845,0.0009455586550757289
yelpchi,bwgnn,phase2_yelp_s2_lsparse_1em3,123,True,True,0.5839771917723436,0.870800673556988,0.7348910110711948,0.7138868384158591,1.4450962543487549,0.0,nan,0.0,0.0,0.0020339498296380043,0.5135881900787354,0.9997720718383789,0.00011631131928879768,0.0001115733030019328
yelpchi,bwgnn,phase2_yelp_s2_lsparse_1em3,456,True,True,0.5714141963541067,0.8645752065915611,0.7262739663947718,0.7194349501484013,1.5534971952438354,0.0,nan,0.0,0.0,0.011044679209589958,0.9035292267799377,0.9985374808311462,0.0013568357098847628,0.00010570114682195708
yelpchi,bwgnn,phase2_yelp_s2_lsparse_1em3,789,True,True,0.5705685362477186,0.8702140766528405,0.7285255266379437,0.7076231466015196,1.4470171928405762,0.0,nan,0.0,0.0,0.003491927869617939,0.5579915046691895,0.9995852112770081,0.00019646569853648543,0.00021831368212588131
